Subject,Age,MTELP,Question,Right,Condition,HabCC,Course
BA1011,31,41,Q1,1,no_cc,YES,BA
BA1011,31,41,Q2,1,no_cc,YES,BA
BA1011,31,41,Q3,1,no_cc,YES,BA
BA1011,31,41,Q4,1,no_cc,YES,BA
BA1011,31,41,Q5,1,no_cc,YES,BA
BA1011,31,41,Q6,0,no_cc,YES,BA
BA1011,31,41,Q7,1,no_cc,YES,BA
BA1011,31,41,Q8,0,no_cc,YES,BA
BA1011,31,41,Q9,0,no_cc,YES,BA
BA1011,31,41,Q10,1,no_cc,YES,BA
BA1013,20,44,Q1,1,auto_cc,YES,BA
BA1013,20,44,Q2,1,auto_cc,YES,BA
BA1013,20,44,Q3,1,auto_cc,YES,BA
BA1013,20,44,Q4,0,auto_cc,YES,BA
BA1013,20,44,Q5,1,auto_cc,YES,BA
BA1013,20,44,Q6,1,auto_cc,YES,BA
BA1013,20,44,Q7,1,auto_cc,YES,BA
BA1013,20,44,Q8,1,auto_cc,YES,BA
BA1013,20,44,Q9,1,auto_cc,YES,BA
BA1013,20,44,Q10,0,auto_cc,YES,BA
BA1014,19,45,Q1,1,auto_cc,YES,BA
BA1014,19,45,Q2,1,auto_cc,YES,BA
BA1014,19,45,Q3,0,auto_cc,YES,BA
BA1014,19,45,Q4,0,auto_cc,YES,BA
BA1014,19,45,Q5,0,auto_cc,YES,BA
BA1014,19,45,Q6,1,auto_cc,YES,BA
BA1014,19,45,Q7,1,auto_cc,YES,BA
BA1014,19,45,Q8,0,auto_cc,YES,BA
BA1014,19,45,Q9,1,auto_cc,YES,BA
BA1014,19,45,Q10,1,auto_cc,YES,BA
BA1016,22,42,Q1,1,auto_cc,YES,BA
BA1016,22,42,Q2,1,auto_cc,YES,BA
BA1016,22,42,Q3,0,auto_cc,YES,BA
BA1016,22,42,Q4,1,auto_cc,YES,BA
BA1016,22,42,Q5,1,auto_cc,YES,BA
BA1016,22,42,Q6,1,auto_cc,YES,BA
